Stop_No,Location,X,Y,Platetype,Adshelnum,Plate_loca,Casetype,Schemestop,Lighting,Nexusplate,District,Status,Shelter_Ty
9142,"BENTON LANE,L/BENTON",426881,568733,X1,0503/0193,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
9143,BENTON ROAD MANOR PLACE,427076,568248,C5,0503/0013,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ADSHEL
9225,"SALTERS LN,LONG BENTON",425613,568596,C3, ,BRACKET,LARGE, ,AT STOP,Yes,North Tyneside,OPERATING,INSIGNIA
9227,BT CALL CENTRE SALTERS LANE,425712,569170,C6, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,NONE
9228,SALTERS LANE SCOTTS HOUSE FARM,425837,569502,C3,0503/0163,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OUTSER,ADSHEL
9229,SALTERS LANE LAKE LODGE,426016,569880,C2, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OUTSER,NONE
9230,"SALTERS LANE,L/BENTON",426033,569870,C4, ,STAINLESS STEEL,NORMAL, ,NEARBY,New,North Tyneside,OUTSER,NONE
9231,SALTERS  LANE SCOTTS HOUSE FARM,425833,569447,C3, ,Stainless steel,None, ,POWERED,New,North Tyneside,OUTSER,NONE
9232,SALTERS LANE,425706,569088,C6,0503/0198,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,ADSHEL
9234,SALTERS LANE SALTERS BRIDGE,425629,568561,C4, ,BRACKET,LARGE, ,AT STOP,New,North Tyneside,OPERATING,INSIGNIA
9319,STOTTS ROAD,429255,565753,O2,0502/0261,BRACKET,LARGE, ,UNKOWN,New,North Tyneside,OPERATING,ADSHEL
9346,"STATION RD,BENTON",427819,568719,X3, ,STAINLESS STEEL,LARGE, ,POWERED,Yes,North Tyneside,OPERATING,NONE
9347,"STATION RD,BENTON",427742,569233,C6, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,ARUN
9348,"STATION RD,FOREST HALL",427723,569468,C5, ,BRACKET,LARGE, ,NEARBY,New,North Tyneside,OPERATING,ARUN
9350,"STATION RD,FOREST HALL",427745,569397,C6, ,BRACKET,LARGE, ,POWERED,New,North Tyneside,OPERATING,ARUN
9351,"STATION RD,BENTON",427756,569136,C6, ,BRACKET,NORMAL, ,NEARBY,New,North Tyneside,OPERATING,BRICK
9352,"STATION RD,BENTON",427835,568692,X3, ,STAINLESS STEEL,LARGE, ,NEARBY,Yes,North Tyneside,OPERATING,BRICK
9353,BRIAR EDGE FOREST HALL,427716,569798,X3, ,STAINLESS STEEL,NORMAL, ,AT STOP,New,North Tyneside,OPERATING,NONE
